,,Overall,,Plant-mediated,,Soil-mediated,
Predictor,Geographic distance,Estimate,P,Estimate,P,Estimate,P
Replacement,,,,,,,
pH distance,460,0.24,0.000,0.03,0.107,0.34,0.000
Plant,460,0.15,0.000,0.13,0.000,0.15,0.000
Bacteria,460,-0.07,0.042,-0.01,0.573,-0.09,0.044
Fungi,460,-0.03,0.098,0.01,0.863,-0.06,0.902
Geographic distance,480,0.12,0.000,0.06,1.000,0.12,0.000
Climatic distance,480,0.21,0.000,0.13,0.000,0.19,0.000
pH distance,480,0.24,0.000,0.02,0.311,0.34,0.000
Plant,480,0.16,0.000,0.13,0.000,0.15,0.000
Bacteria,480,-0.08,0.032,-0.01,1.000,-0.09,0.000
Fungi,480,-0.03,0.291,0.00,0.686,-0.06,0.001
Geographic distance,500,0.12,0.000,0.04,0.187,0.14,0.000
Climatic distance,500,0.21,0.000,0.14,0.000,0.18,0.000
pH distance,500,0.23,0.000,0.02,0.189,0.34,0.000
Plant,500,0.15,0.000,0.11,0.000,0.16,0.000
Bacteria,500,-0.08,0.019,-0.01,1.000,-0.10,0.000
Fungi,500,-0.04,0.180,0.00,1.000,-0.06,0.030
Geographic distance,520,0.13,0.000,0.03,1.000,0.16,0.000
Climatic distance,520,0.22,0.000,0.16,0.000,0.17,0.000
pH distance,520,0.24,0.000,0.02,0.209,0.34,0.000
Plant,520,0.16,0.000,0.11,0.000,0.16,0.000
Bacteria,520,-0.07,0.000,0.00,1.000,-0.09,0.000
Fungi,520,-0.04,0.132,0.00,1.000,-0.06,0.385
Geographic distance,540,0.12,0.000,0.03,1.000,0.14,0.000
Climatic distance,540,0.23,0.000,0.16,0.000,0.19,0.000
pH distance,540,0.23,0.000,0.01,0.583,0.33,0.000
Plant,540,0.16,0.000,0.10,0.000,0.17,0.000
Bacteria,540,-0.07,0.000,0.00,1.000,-0.10,0.000
Fungi,540,-0.03,0.160,0.01,1.000,-0.06,0.044
Geographic distance,560,0.12,0.000,0.03,0.151,0.13,0.000
Climatic distance,560,0.23,0.000,0.17,0.000,0.19,0.000
pH distance,560,0.23,0.000,0.00,1.000,0.33,0.000
Plant,560,0.16,0.000,0.10,0.000,0.18,0.000
Bacteria,560,-0.06,0.066,0.00,1.000,-0.09,0.000
Fungi,560,-0.04,0.232,0.00,1.000,-0.06,0.050
Geographic distance,580,0.11,0.000,0.04,0.092,0.12,0.000
Climatic distance,580,0.24,0.000,0.17,0.000,0.19,0.000
pH distance,580,0.23,0.000,0.00,1.000,0.33,0.000
Plant,580,0.16,0.000,0.09,0.000,0.19,0.000
Bacteria,580,-0.08,0.016,-0.01,0.784,-0.09,0.000
Fungi,580,-0.03,1.000,0.01,1.000,-0.06,0.101
Geographic distance,600,0.11,0.000,0.05,0.765,0.11,0.000
Climatic distance,600,0.24,0.000,0.17,0.000,0.19,0.000
pH distance,600,0.23,0.000,0.01,0.400,0.33,0.000
Plant,600,0.15,0.000,0.07,0.000,0.19,0.000
Bacteria,600,-0.09,0.000,-0.02,0.145,-0.11,0.000
Fungi,600,-0.02,0.470,0.01,0.353,-0.05,0.168
Geographic distance,620,0.11,0.000,0.05,0.044,0.11,0.000
Climatic distance,620,0.26,0.000,0.18,0.000,0.20,0.000
pH distance,620,0.22,0.000,0.00,1.000,0.33,0.000
Plant,620,0.15,0.000,0.07,0.010,0.19,0.000
Bacteria,620,-0.09,0.000,-0.01,0.414,-0.10,0.000
Fungi,620,-0.03,0.067,0.00,1.000,-0.04,1.000
Geographic distance,640,0.10,0.000,0.05,0.129,0.09,0.000
Climatic distance,640,0.26,0.000,0.18,0.000,0.21,0.000
pH distance,640,0.23,0.000,0.00,0.961,0.33,0.000
Plant,640,0.15,0.000,0.07,0.013,0.19,0.000
Bacteria,640,-0.08,0.000,-0.01,1.000,-0.11,0.000
Fungi,640,-0.03,1.000,0.00,0.824,-0.03,0.152
Geographic distance,660,0.09,0.000,0.05,0.121,0.09,0.000
Climatic distance,660,0.26,0.000,0.18,0.000,0.20,0.000
pH distance,660,0.23,0.000,0.01,1.000,0.33,0.000
Plant,660,0.15,0.000,0.07,0.016,0.20,0.000
Bacteria,660,-0.08,0.000,-0.01,0.804,-0.11,0.000
Fungi,660,-0.03,0.126,0.00,1.000,-0.03,0.023
Geographic distance,680,0.10,0.000,0.06,0.470,0.09,0.000
Climatic distance,680,0.26,0.000,0.18,0.000,0.21,0.000
pH distance,680,0.23,0.000,0.00,1.000,0.33,0.000
Plant,680,0.15,0.000,0.06,0.056,0.19,0.000
Bacteria,680,-0.08,0.161,-0.01,1.000,-0.11,0.000
Fungi,680,-0.03,1.000,0.00,0.922,-0.04,0.263
Geographic distance,700,0.10,0.000,0.06,0.001,0.09,0.000
Climatic distance,700,0.26,0.000,0.18,0.000,0.21,0.000
pH distance,700,0.23,0.000,0.00,1.000,0.33,0.000
Plant,700,0.15,0.000,0.07,0.001,0.19,0.000
Bacteria,700,-0.08,0.000,-0.01,1.000,-0.11,0.000
Fungi,700,-0.03,0.563,0.00,1.000,-0.03,0.030
Geographic distance,720,0.10,0.000,0.06,0.000,0.10,0.000
Climatic distance,720,0.26,0.000,0.18,0.000,0.20,0.000
pH distance,720,0.23,0.000,0.00,1.000,0.33,0.000
Plant,720,0.15,0.000,0.07,0.000,0.19,0.000
Bacteria,720,-0.07,0.000,0.00,1.000,-0.10,0.000
Fungi,720,-0.03,1.000,-0.01,1.000,-0.04,0.008
Geographic distance,740,0.10,0.000,0.05,0.025,0.10,0.000
Climatic distance,740,0.25,0.000,0.18,0.000,0.19,0.000
pH distance,740,0.23,0.000,0.00,0.706,0.34,0.000
Plant,740,0.15,0.000,0.07,0.000,0.19,0.000
Bacteria,740,-0.07,0.017,0.00,1.000,-0.10,0.000
Fungi,740,-0.03,0.344,-0.01,1.000,-0.03,0.098
Geographic distance,760,0.10,0.000,0.05,0.023,0.10,0.000
Climatic distance,760,0.25,0.000,0.18,0.000,0.19,0.000
pH distance,760,0.23,0.000,0.00,1.000,0.33,0.000
Plant,760,0.15,0.000,0.07,0.000,0.19,0.000
Bacteria,760,-0.07,0.024,0.00,1.000,-0.10,0.000
Fungi,760,-0.02,1.000,-0.01,0.533,-0.02,0.111
Geographic distance,780,0.08,0.000,0.04,0.261,0.09,0.000
Climatic distance,780,0.26,0.000,0.19,0.000,0.20,0.000
pH distance,780,0.23,0.000,0.00,1.000,0.33,0.000
Plant,780,0.15,0.000,0.07,0.000,0.19,0.000
Bacteria,780,-0.08,0.060,0.00,1.000,-0.11,0.000
Fungi,780,-0.02,0.235,0.00,1.000,-0.02,0.149
Geographic distance,800,0.08,0.000,0.04,0.011,0.09,0.000
Climatic distance,800,0.27,0.000,0.19,0.000,0.21,0.000
pH distance,800,0.22,0.000,0.00,1.000,0.33,0.000
Plant,800,0.15,0.000,0.07,0.022,0.19,0.000
Bacteria,800,-0.07,0.020,0.00,0.667,-0.10,0.000
Fungi,800,-0.03,0.116,-0.01,0.863,-0.03,0.047
Geographic distance,820,0.08,0.000,0.04,0.028,0.10,0.000
Climatic distance,820,0.26,0.000,0.19,0.000,0.20,0.000
pH distance,820,0.22,0.000,0.00,1.000,0.32,0.000
Plant,820,0.15,0.000,0.07,0.000,0.19,0.000
Bacteria,820,-0.07,0.000,0.00,1.000,-0.11,0.000
Fungi,820,-0.02,0.149,-0.01,1.000,-0.02,1.000
Geographic distance,840,0.08,0.000,0.04,0.070,0.10,0.000
Climatic distance,840,0.25,0.000,0.19,0.000,0.19,0.000
pH distance,840,0.22,0.000,0.01,1.000,0.32,0.000
Plant,840,0.15,0.000,0.08,0.000,0.19,0.000
Bacteria,840,-0.07,0.000,0.00,1.000,-0.11,0.000
Fungi,840,-0.02,1.000,-0.01,0.902,-0.02,1.000
Geographic distance,860,0.07,0.000,0.04,0.020,0.09,0.000
Climatic distance,860,0.25,0.000,0.18,0.000,0.20,0.000
pH distance,860,0.22,0.000,0.00,1.000,0.32,0.000
Plant,860,0.15,0.000,0.08,0.000,0.19,0.000
Bacteria,860,-0.08,0.000,0.00,1.000,-0.11,0.000
Fungi,860,-0.02,1.000,-0.01,0.824,-0.02,0.221
Geographic distance,880,0.07,0.000,0.04,0.060,0.09,0.000
Climatic distance,880,0.26,0.000,0.18,0.000,0.20,0.000
pH distance,880,0.22,0.000,0.01,1.000,0.31,0.000
Plant,880,0.15,0.000,0.08,0.000,0.19,0.000
Bacteria,880,-0.08,0.000,0.00,1.000,-0.11,0.000
Fungi,880,-0.02,0.843,0.00,0.655,-0.02,0.606
Geographic distance,900,0.08,0.000,0.05,0.005,0.09,0.000
Climatic distance,900,0.25,0.000,0.18,0.000,0.20,0.000
pH distance,900,0.22,0.000,0.01,1.000,0.31,0.000
Plant,900,0.15,0.000,0.08,0.000,0.19,0.000
Bacteria,900,-0.08,0.031,0.00,1.000,-0.11,0.000
Fungi,900,-0.01,0.444,0.00,1.000,-0.02,0.186
Geographic distance,920,0.08,0.000,0.05,0.005,0.10,0.000
Climatic distance,920,0.25,0.000,0.17,0.000,0.20,0.000
pH distance,920,0.21,0.000,0.01,0.371,0.30,0.000
Plant,920,0.15,0.000,0.08,0.000,0.19,0.000
Bacteria,920,-0.08,0.000,0.00,1.000,-0.12,0.000
Fungi,920,-0.01,1.000,0.00,1.000,-0.01,0.275
Geographic distance,940,0.08,0.000,0.06,0.000,0.09,0.000
Climatic distance,940,0.25,0.000,0.17,0.000,0.20,0.000
pH distance,940,0.20,0.000,0.00,0.462,0.30,0.000
Plant,940,0.15,0.000,0.08,0.000,0.19,0.000
Bacteria,940,-0.08,0.000,0.00,1.000,-0.12,0.000
Fungi,940,-0.01,0.941,0.00,1.000,0.00,1.000
Geographic distance,960,0.09,0.000,0.06,0.000,0.09,0.000
Climatic distance,960,0.24,0.000,0.17,0.000,0.20,0.000
pH distance,960,0.20,0.000,0.00,1.000,0.29,0.000
Plant,960,0.15,0.000,0.08,0.000,0.19,0.000
Bacteria,960,-0.08,0.101,0.01,1.000,-0.12,0.000
Fungi,960,0.00,1.000,0.00,1.000,0.00,0.961
Geographic distance,980,0.10,0.000,0.07,0.000,0.10,0.000
Climatic distance,980,0.24,0.000,0.17,0.000,0.19,0.000
pH distance,980,0.20,0.000,0.00,1.000,0.29,0.000
Plant,980,0.15,0.000,0.08,0.000,0.18,0.000
Bacteria,980,-0.08,0.000,0.01,0.500,-0.12,0.000
Fungi,980,0.00,1.000,0.00,0.961,0.00,0.441
Geographic distance,1000,0.10,0.000,0.08,0.000,0.10,0.000
Climatic distance,1000,0.24,0.000,0.16,0.000,0.19,0.000
pH distance,1000,0.20,0.000,0.00,1.000,0.28,0.000
Plant,1000,0.15,0.000,0.08,0.000,0.19,0.000
Bacteria,1000,-0.07,0.014,0.01,1.000,-0.12,0.000
Fungi,1000,-0.01,1.000,0.00,1.000,0.00,1.000
