,,Overall,,Plant-mediated,,Soil-mediated,
Predictor,Geographic distance,Estimate,P,Estimate,P,Estimate,P
Replacement,,,,,,,
Geographic distance,360,0.09,0.042,0.09,0.036,0.05,0.060
Climatic distance,360,0.11,1.000,0.09,0.114,0.10,0.011
pH distance,360,0.14,0.058,0.02,1.000,0.20,0.000
Plant,360,0.04,0.070,0.00,0.941,0.03,0.706
Bacteria,360,0.28,0.000,0.07,0.158,0.36,0.000
Fungi,360,0.08,0.005,0.03,0.667,0.10,0.002
Geographic distance,380,0.08,0.037,0.06,0.071,0.06,0.046
Climatic distance,380,0.14,0.000,0.12,0.004,0.11,0.000
pH distance,380,0.11,0.941,0.01,0.745,0.17,0.000
Plant,380,0.02,0.293,0.00,0.667,0.01,1.000
Bacteria,380,0.28,0.000,0.06,0.333,0.38,0.000
Fungi,380,0.07,0.121,0.04,0.231,0.08,0.034
Geographic distance,400,0.07,0.143,0.06,0.119,0.04,0.166
Climatic distance,400,0.17,0.000,0.14,0.000,0.14,0.000
pH distance,400,0.11,0.000,0.01,0.516,0.17,0.000
Plant,400,0.00,0.824,-0.01,1.000,-0.01,0.603
Bacteria,400,0.25,0.000,0.04,0.477,0.34,0.000
Fungi,400,0.10,0.006,0.06,0.029,0.10,0.000
Geographic distance,420,0.08,0.024,0.07,0.020,0.05,0.060
Climatic distance,420,0.18,0.000,0.15,0.000,0.14,0.000
pH distance,420,0.11,0.000,0.01,0.902,0.17,0.000
Plant,420,0.00,1.000,-0.01,0.843,-0.01,0.490
Bacteria,420,0.25,0.000,0.04,0.167,0.35,0.000
Fungi,420,0.09,0.032,0.05,0.034,0.09,0.000
Geographic distance,440,0.08,0.062,0.06,0.058,0.06,0.043
Climatic distance,440,0.20,0.000,0.16,0.012,0.17,0.000
pH distance,440,0.12,0.000,0.03,1.000,0.17,0.000
Plant,440,-0.02,0.214,-0.02,0.361,-0.03,1.000
Bacteria,440,0.23,0.000,0.02,0.706,0.33,0.000
Fungi,440,0.08,0.030,0.05,0.686,0.09,0.000
Geographic distance,460,0.09,0.000,0.05,0.055,0.08,0.000
Climatic distance,460,0.21,0.000,0.16,0.000,0.17,0.000
pH distance,460,0.13,0.000,0.03,1.000,0.17,0.000
Plant,460,-0.01,1.000,-0.03,0.638,-0.01,1.000
Bacteria,460,0.23,0.000,0.02,1.000,0.33,0.000
Fungi,460,0.08,0.016,0.04,0.245,0.08,0.006
Geographic distance,480,0.09,0.000,0.05,0.322,0.09,0.183
Climatic distance,480,0.21,0.000,0.17,0.000,0.17,0.000
pH distance,480,0.11,0.000,0.00,1.000,0.18,0.000
Plant,480,-0.01,0.516,-0.03,0.667,-0.02,0.242
Bacteria,480,0.24,0.000,0.03,0.980,0.33,0.000
Fungi,480,0.08,0.009,0.04,0.079,0.08,0.009
Geographic distance,500,0.09,0.000,0.03,0.235,0.11,0.000
Climatic distance,500,0.22,0.000,0.18,0.000,0.17,0.000
pH distance,500,0.11,0.000,0.01,1.000,0.17,0.000
Plant,500,-0.01,0.541,-0.02,1.000,-0.03,0.202
Bacteria,500,0.24,0.000,0.02,1.000,0.33,0.000
Fungi,500,0.07,0.015,0.04,0.980,0.07,0.000
Geographic distance,520,0.09,0.000,0.01,1.000,0.12,0.000
Climatic distance,520,0.23,0.000,0.20,0.000,0.17,0.000
pH distance,520,0.12,0.000,0.02,1.000,0.18,0.000
Plant,520,-0.03,0.112,-0.02,0.571,-0.04,0.079
Bacteria,520,0.23,0.000,0.01,1.000,0.32,0.000
Fungi,520,0.08,0.001,0.04,0.027,0.08,0.000
Geographic distance,540,0.09,0.000,0.02,0.922,0.10,0.000
Climatic distance,540,0.25,0.000,0.20,0.000,0.19,0.000
pH distance,540,0.11,0.000,0.00,1.000,0.17,0.000
Plant,540,-0.03,0.065,-0.02,0.277,-0.04,0.055
Bacteria,540,0.23,0.000,0.01,0.902,0.32,0.000
Fungi,540,0.07,0.000,0.03,0.784,0.08,0.000
Geographic distance,560,0.08,0.000,0.02,1.000,0.09,0.000
Climatic distance,560,0.25,0.000,0.20,0.000,0.20,0.000
pH distance,560,0.11,0.000,0.00,0.882,0.18,0.000
Plant,560,-0.03,0.745,-0.01,1.000,-0.05,0.000
Bacteria,560,0.22,0.000,0.01,1.000,0.31,0.000
Fungi,560,0.07,0.004,0.03,0.441,0.08,0.000
Geographic distance,580,0.08,0.000,0.03,0.140,0.08,0.000
Climatic distance,580,0.26,0.000,0.20,0.000,0.20,0.000
pH distance,580,0.12,0.000,0.00,1.000,0.18,0.000
Plant,580,-0.03,0.167,-0.02,1.000,-0.05,0.000
Bacteria,580,0.22,0.000,0.01,1.000,0.31,0.000
Fungi,580,0.07,0.025,0.03,1.000,0.08,0.000
Geographic distance,600,0.08,0.002,0.04,0.090,0.07,0.000
Climatic distance,600,0.26,0.000,0.20,0.000,0.21,0.000
pH distance,600,0.12,0.000,0.00,1.000,0.18,0.000
Plant,600,-0.03,1.000,-0.02,0.470,-0.06,0.000
Bacteria,600,0.22,0.000,0.01,1.000,0.31,0.000
Fungi,600,0.07,0.000,0.02,0.145,0.08,0.000
Geographic distance,620,0.07,0.004,0.03,0.042,0.07,0.248
Climatic distance,620,0.27,0.000,0.21,0.000,0.21,0.000
pH distance,620,0.12,0.000,-0.01,0.941,0.19,0.000
Plant,620,-0.04,0.377,-0.02,0.108,-0.06,0.000
Bacteria,620,0.22,0.000,0.02,0.314,0.30,0.000
Fungi,620,0.07,0.000,0.03,0.085,0.07,0.000
Geographic distance,640,0.07,0.000,0.04,0.100,0.05,1.000
Climatic distance,640,0.27,0.000,0.20,0.000,0.22,0.000
pH distance,640,0.12,0.000,-0.01,0.470,0.19,0.000
Plant,640,-0.04,0.089,-0.02,0.311,-0.05,0.046
Bacteria,640,0.22,0.000,0.01,0.263,0.30,0.000
Fungi,640,0.07,0.000,0.03,0.131,0.07,0.000
Geographic distance,660,0.05,0.057,0.04,0.025,0.04,0.038
Climatic distance,660,0.27,0.000,0.20,0.000,0.22,0.000
pH distance,660,0.13,0.000,0.00,1.000,0.19,0.000
Plant,660,-0.04,0.005,-0.02,0.062,-0.06,0.024
Bacteria,660,0.22,0.000,0.01,0.541,0.30,0.000
Fungi,660,0.07,0.007,0.03,1.000,0.07,0.000
Geographic distance,680,0.06,0.065,0.05,1.000,0.04,0.000
Climatic distance,680,0.27,0.000,0.20,0.000,0.22,0.000
pH distance,680,0.12,0.000,0.00,0.441,0.19,0.000
Plant,680,-0.04,0.038,-0.02,0.110,-0.05,0.287
Bacteria,680,0.22,0.000,0.02,0.314,0.30,0.000
Fungi,680,0.07,0.000,0.03,1.000,0.07,0.000
Geographic distance,700,0.06,0.079,0.05,0.042,0.05,0.000
Climatic distance,700,0.27,0.000,0.20,0.000,0.22,0.000
pH distance,700,0.12,0.000,0.00,1.000,0.19,0.000
Plant,700,-0.04,0.036,-0.03,0.080,-0.05,0.000
Bacteria,700,0.22,0.000,0.02,0.745,0.29,0.000
Fungi,700,0.07,0.021,0.03,0.111,0.07,0.000
Geographic distance,720,0.06,0.007,0.05,0.006,0.06,0.001
Climatic distance,720,0.27,0.000,0.21,0.000,0.21,0.000
pH distance,720,0.12,0.000,-0.01,1.000,0.19,0.000
Plant,720,-0.04,0.056,-0.03,0.105,-0.05,0.048
Bacteria,720,0.21,0.000,0.01,1.000,0.29,0.000
Fungi,720,0.07,0.016,0.03,0.237,0.07,0.000
Geographic distance,740,0.06,0.031,0.04,0.043,0.06,0.000
Climatic distance,740,0.26,0.000,0.21,0.000,0.20,0.000
pH distance,740,0.13,0.000,-0.01,1.000,0.20,0.000
Plant,740,-0.04,0.003,-0.03,0.149,-0.05,0.002
Bacteria,740,0.22,0.000,0.02,0.108,0.29,0.000
Fungi,740,0.06,0.000,0.03,1.000,0.06,0.000
Geographic distance,760,0.06,0.000,0.04,0.415,0.06,0.000
Climatic distance,760,0.26,0.000,0.21,0.000,0.20,0.000
pH distance,760,0.13,0.000,-0.01,0.638,0.20,0.000
Plant,760,-0.04,0.211,-0.03,0.090,-0.05,0.026
Bacteria,760,0.22,0.000,0.02,0.139,0.29,0.000
Fungi,760,0.06,0.032,0.02,0.495,0.06,0.000
Geographic distance,780,0.05,0.004,0.04,0.023,0.06,0.022
Climatic distance,780,0.27,0.000,0.21,0.000,0.21,0.000
pH distance,780,0.12,0.000,-0.01,1.000,0.19,0.000
Plant,780,-0.04,0.026,-0.03,0.473,-0.05,0.000
Bacteria,780,0.22,0.000,0.03,0.272,0.29,0.000
Fungi,780,0.06,0.000,0.02,0.102,0.06,0.000
Geographic distance,800,0.05,0.271,0.03,0.081,0.05,1.000
Climatic distance,800,0.27,0.000,0.21,0.000,0.21,0.000
pH distance,800,0.12,0.000,-0.01,0.246,0.19,0.000
Plant,800,-0.04,0.061,-0.03,0.667,-0.05,0.004
Bacteria,800,0.22,0.000,0.03,0.181,0.30,0.000
Fungi,800,0.06,0.000,0.02,0.098,0.06,0.000
Geographic distance,820,0.05,0.000,0.03,0.500,0.06,0.037
Climatic distance,820,0.27,0.000,0.21,0.000,0.21,0.000
pH distance,820,0.11,0.000,-0.01,0.902,0.18,0.000
Plant,820,-0.04,0.040,-0.03,0.168,-0.05,0.001
Bacteria,820,0.23,0.000,0.03,1.000,0.30,0.000
Fungi,820,0.05,0.175,0.02,0.581,0.06,0.043
Geographic distance,840,0.05,0.014,0.03,1.000,0.07,0.000
Climatic distance,840,0.26,0.000,0.21,0.000,0.20,0.000
pH distance,840,0.12,0.000,-0.01,1.000,0.18,0.000
Plant,840,-0.03,0.054,-0.03,0.059,-0.04,0.000
Bacteria,840,0.22,0.000,0.03,0.442,0.30,0.000
Fungi,840,0.05,0.013,0.02,0.941,0.05,0.012
Geographic distance,860,0.05,0.000,0.03,0.246,0.06,0.000
Climatic distance,860,0.26,0.000,0.21,0.000,0.20,0.000
pH distance,860,0.11,0.000,-0.01,1.000,0.18,0.000
Plant,860,-0.03,1.000,-0.03,0.373,-0.04,0.084
Bacteria,860,0.22,0.000,0.03,0.072,0.30,0.000
Fungi,860,0.05,0.000,0.02,0.784,0.05,0.002
Geographic distance,880,0.05,0.008,0.04,0.043,0.06,0.006
Climatic distance,880,0.26,0.000,0.21,0.000,0.21,0.000
pH distance,880,0.11,0.000,-0.01,1.000,0.17,0.000
Plant,880,-0.03,1.000,-0.03,1.000,-0.03,0.163
Bacteria,880,0.23,0.000,0.03,0.152,0.30,0.000
Fungi,880,0.04,0.018,0.01,1.000,0.05,0.082
Geographic distance,900,0.06,0.000,0.05,0.040,0.07,0.000
Climatic distance,900,0.26,0.000,0.20,0.000,0.20,0.000
pH distance,900,0.11,0.000,-0.01,1.000,0.17,0.000
Plant,900,-0.02,0.272,-0.02,0.606,-0.03,0.187
Bacteria,900,0.23,0.000,0.04,0.127,0.30,0.000
Fungi,900,0.04,0.304,0.00,1.000,0.05,0.046
Geographic distance,920,0.07,0.000,0.05,0.058,0.08,0.000
Climatic distance,920,0.25,0.000,0.20,0.000,0.20,0.000
pH distance,920,0.10,0.000,-0.01,1.000,0.16,0.000
Plant,920,-0.02,0.481,-0.02,1.000,-0.03,0.052
Bacteria,920,0.23,0.000,0.04,0.144,0.31,0.000
Fungi,920,0.03,0.045,0.00,1.000,0.04,0.043
Geographic distance,940,0.07,0.000,0.06,0.022,0.07,0.026
Climatic distance,940,0.26,0.000,0.20,0.000,0.20,0.000
pH distance,940,0.09,0.000,-0.02,0.571,0.15,0.000
Plant,940,-0.02,0.155,-0.02,1.000,-0.03,0.065
Bacteria,940,0.24,0.000,0.04,0.064,0.31,0.000
Fungi,940,0.03,0.882,0.00,1.000,0.03,0.043
Geographic distance,960,0.07,0.000,0.06,0.009,0.08,0.000
Climatic distance,960,0.25,0.000,0.20,0.000,0.20,0.000
pH distance,960,0.09,0.000,-0.02,1.000,0.15,0.000
Plant,960,-0.02,0.233,-0.02,0.114,-0.03,0.091
Bacteria,960,0.24,0.000,0.04,0.022,0.31,0.000
Fungi,960,0.02,1.000,-0.01,1.000,0.03,0.054
Geographic distance,980,0.09,0.000,0.07,0.004,0.09,0.000
Climatic distance,980,0.24,0.000,0.19,0.000,0.19,0.000
pH distance,980,0.09,0.000,-0.01,1.000,0.15,0.000
Plant,980,-0.02,0.606,-0.02,0.105,-0.02,0.186
Bacteria,980,0.24,0.000,0.04,0.030,0.31,0.000
Fungi,980,0.02,0.242,-0.01,1.000,0.03,0.765
Geographic distance,1000,0.09,0.000,0.08,0.000,0.08,0.000
Climatic distance,1000,0.25,0.000,0.19,0.000,0.19,0.000
pH distance,1000,0.08,0.000,-0.02,1.000,0.14,0.000
Plant,1000,-0.01,0.144,-0.02,0.843,-0.02,0.088
Bacteria,1000,0.24,0.000,0.04,1.000,0.31,0.000
Fungi,1000,0.02,0.521,-0.01,0.139,0.03,0.007
Richness difference,,,,,,,
Geographic distance,40,0.26,0.385,0.13,0.592,0.31,0.195
Climatic distance,40,0.16,0.660,0.32,0.251,-0.02,0.922
pH distance,40,-0.01,0.922,-0.04,0.686,0.00,1.000
Plant,40,0.23,0.170,0.29,0.114,0.10,0.784
Bacteria,40,0.55,0.040,0.52,0.050,0.32,0.191
Fungi,40,-0.39,0.238,-0.23,0.182,-0.44,0.052
Geographic distance,60,0.16,0.111,0.06,0.564,0.20,0.074
Climatic distance,60,0.21,0.068,0.26,0.330,0.15,0.154
pH distance,60,0.24,0.134,0.03,0.606,0.28,0.028
Plant,60,0.00,1.000,-0.05,1.000,0.07,0.667
Bacteria,60,0.10,0.623,0.12,0.438,0.04,0.784
Fungi,60,-0.05,0.784,0.02,0.863,-0.11,0.184
Geographic distance,80,0.14,0.510,0.07,0.606,0.15,0.070
Climatic distance,80,0.21,0.064,0.26,0.063,0.13,0.500
pH distance,80,0.22,0.124,0.01,0.961,0.29,0.011
Plant,80,0.01,0.667,-0.01,0.980,0.04,0.824
Bacteria,80,0.04,0.533,-0.03,1.000,0.09,0.342
Fungi,80,0.00,1.000,0.04,0.573,-0.05,0.390
Geographic distance,100,-0.10,0.335,-0.06,0.571,-0.08,0.321
Climatic distance,100,0.08,0.246,0.09,0.344,0.07,0.315
pH distance,100,0.30,0.000,0.18,0.037,0.27,0.000
Plant,100,0.00,0.980,-0.04,0.686,0.04,0.423
Bacteria,100,0.08,0.420,-0.01,1.000,0.14,0.342
Fungi,100,0.01,0.863,0.01,0.961,-0.02,0.633
Geographic distance,120,-0.05,0.242,-0.01,1.000,-0.07,1.000
Climatic distance,120,0.03,0.660,0.02,0.804,0.06,0.686
pH distance,120,0.30,0.000,0.15,0.050,0.30,0.000
Plant,120,0.03,0.843,0.00,1.000,0.06,0.271
Bacteria,120,-0.01,0.980,-0.04,0.382,0.02,0.941
Fungi,120,0.02,0.784,0.06,0.353,-0.05,1.000
Geographic distance,140,-0.08,0.237,-0.03,0.784,-0.09,0.481
Climatic distance,140,0.07,0.804,0.03,0.667,0.11,0.207
pH distance,140,0.29,0.000,0.13,0.042,0.31,0.000
Plant,140,0.10,0.102,0.07,0.784,0.11,0.128
Bacteria,140,-0.09,0.160,-0.06,0.390,-0.08,1.000
Fungi,140,-0.01,1.000,0.00,0.941,-0.02,0.583
Geographic distance,160,0.08,0.474,0.12,0.058,0.02,1.000
Climatic distance,160,0.02,0.941,-0.03,0.863,0.07,0.396
pH distance,160,0.29,0.000,0.13,0.048,0.34,0.000
Plant,160,0.11,0.135,0.08,0.186,0.12,0.178
Bacteria,160,-0.07,0.421,-0.04,0.706,-0.08,0.155
Fungi,160,0.02,0.521,0.02,1.000,0.01,0.843
Geographic distance,180,0.07,0.725,0.14,0.092,-0.01,1.000
Climatic distance,180,0.03,1.000,-0.03,0.824,0.07,0.119
pH distance,180,0.25,0.000,0.02,1.000,0.35,0.000
Plant,180,0.15,1.000,0.13,0.028,0.15,0.018
Bacteria,180,-0.03,0.706,-0.01,0.843,-0.04,1.000
Fungi,180,-0.02,0.725,-0.01,0.824,-0.05,0.563
Geographic distance,200,0.06,0.633,0.14,0.011,-0.02,1.000
Climatic distance,200,0.04,0.364,-0.05,1.000,0.10,0.031
pH distance,200,0.25,0.000,0.02,1.000,0.35,0.000
Plant,200,0.15,0.013,0.12,0.013,0.16,0.000
Bacteria,200,-0.03,0.458,-0.05,0.980,0.00,1.000
Fungi,200,-0.04,0.804,-0.02,0.581,-0.07,0.090
Geographic distance,220,0.10,0.021,0.18,0.003,0.00,0.980
Climatic distance,220,0.02,1.000,-0.05,0.219,0.08,0.073
pH distance,220,0.25,0.000,0.02,1.000,0.37,0.000
Plant,220,0.16,0.000,0.15,0.002,0.15,0.000
Bacteria,220,-0.02,0.466,-0.03,0.383,-0.01,1.000
Fungi,220,0.00,1.000,0.03,0.282,-0.04,1.000
