row,col,geo,clim,pH,EMF,EMF.plant,EMF.soil,plant.repl,plant.rich,plant.sor,bac.repl,bac.rich,bac.sor,bac.BC,fun.repl,fun.rich,fun.sor,fun.BC
Site60,Site3,156.1087625,0.976723947,2.196095554,5.37507249,3.509313896,4.071378176,0.4,0.36,0.76,0.723217027,0.081346567,0.804563594,0.837909091,0.443246233,0.051016176,0.494262408,0.65995122
Site5,Site4,42.54335153,0.681979302,0.524869449,2.56578221,1.090720139,2.322405634,0.311111111,0.288888889,0.6,0.685729462,0.009383853,0.695113314,0.646636364,0.248509977,0.038611039,0.287121016,0.382479675
Site6,Site4,82.56144867,1.895294194,1.180303437,3.396328171,2.170297981,2.612441716,0.352941176,0.137254902,0.490196078,0.628187425,0.049617969,0.677805394,0.612090909,0.292878636,0.005015045,0.297893681,0.362780488
Site7,Site4,122.7948925,2.711812182,2.739244039,2.440911116,1.723464986,1.728500944,0.583333333,0.208333333,0.791666667,0.660294703,0.135205098,0.795499801,0.792454545,0.267412787,0.045600667,0.313013454,0.418333333
Site8,Site4,125.4710633,1.779863344,0.302909732,3.15233464,2.860100882,1.325532583,0.49122807,0.01754386,0.50877193,0.650651902,0.018217539,0.668869441,0.589545455,0.291549655,0.023232065,0.314781721,0.415723577
Site9,Site4,162.9400339,2.479048889,0.279408115,3.547100114,2.565407348,2.449613103,0.263157895,0.526315789,0.789473684,0.603386352,0.170035916,0.773422268,0.769272727,0.405228758,0.047843137,0.453071895,0.598626016
Site10,Site4,185.0932113,1.917681492,1.02623728,4.152727384,3.090822384,2.773438609,0.277777778,0.611111111,0.888888889,0.609948408,0.109899737,0.719848146,0.712636364,0.349322493,0.086178862,0.435501355,0.56700813
Site11,Site4,197.8134854,1.690780462,1.206416345,3.573565778,1.767027457,3.106120786,0.625,0.208333333,0.833333333,0.591677375,0.127013937,0.718691312,0.719090909,0.379843936,0.060177225,0.440021161,0.550195122
Site12,Site4,439.6918121,1.416801651,0.018279036,2.468592427,1.791168418,1.698724306,0.32,0.16,0.48,0.646103304,0.040518343,0.686621646,0.639454545,0.305229456,0.069370331,0.374599787,0.452276423
Site13,Site4,461.029065,1.567362166,1.112409876,3.073198122,1.644978495,2.595879898,0.481481481,0.074074074,0.555555556,0.630240941,0.081578448,0.711819389,0.655636364,0.347743079,0.093140597,0.440883677,0.584804878
Site14,Site4,490.6128506,1.263391524,1.574608346,2.19013988,1.555140269,1.542158045,0.4,0.16,0.56,0.63414172,0.080143994,0.714285714,0.684909091,0.397748102,0.049489395,0.447237497,0.550398374
Site15,Site4,551.6702453,1.529059136,1.086296969,2.566167349,1.720681105,1.903804453,0.279069767,0.348837209,0.627906977,0.65181213,0.054178994,0.705991124,0.655,0.406311123,0.045247099,0.451558221,0.591723577
Site16,Site4,455.1432514,1.496302214,1.51977124,2.855858752,2.291506666,1.704384466,0.333333333,0.380952381,0.714285714,0.630558276,0.116748286,0.747306562,0.731636364,0.374569025,0.105502689,0.480071714,0.626382114
Site17,Site4,468.5505295,1.161076336,0.830390471,3.177102424,2.822299819,1.458973456,0.47826087,0.260869565,0.739130435,0.612252557,0.069706351,0.681958908,0.626090909,0.36686551,0.086767896,0.453633406,0.565756098
Site18,Site4,471.3101346,1.525458104,0.114896795,2.368937604,2.176788192,0.93459004,0.2,0.45,0.65,0.659748093,0.011353557,0.67110165,0.606363636,0.31842326,0.120492032,0.438915292,0.544520325
Site19,Site4,478.0273913,1.031098585,0.112285504,2.476661326,2.402654901,0.600916592,0.333333333,0.380952381,0.714285714,0.642414296,0.039569657,0.681983953,0.621727273,0.307344633,0.13220339,0.439548023,0.57795122
Site20,Site4,414.9165996,1.402651102,0.219348426,2.54865668,2.059268366,1.501687273,0.425531915,0.234042553,0.659574468,0.670560127,0.008937262,0.67949739,0.614454545,0.26808568,0.079886838,0.347972518,0.40704065
Site21,Site4,426.8042408,1.855262802,0.268962951,2.821816773,2.091361135,1.894428279,0.489795918,0.183673469,0.673469388,0.589116038,0.094346866,0.683462904,0.623909091,0.301158301,0.146289146,0.447447447,0.529609756
Site22,Site4,377.8053187,2.032004973,1.425764771,3.069536793,2.76230001,1.338564446,0.434782609,0.260869565,0.695652174,0.630793401,0.119599372,0.750392773,0.735181818,0.346681295,0.09928689,0.445968184,0.575130081
Site23,Site4,253.4439696,1.51616881,0.201069391,3.390717811,2.065395172,2.689072341,0.285714286,0.657142857,0.942857143,0.666600378,0.133737695,0.800338073,0.808181818,0.364624372,0.088982475,0.453606847,0.656146341
Site24,Site4,214.6438619,2.050453759,0.778164655,3.999351512,2.789341006,2.866075587,0.228571429,0.657142857,0.885714286,0.616863763,0.096240746,0.713104509,0.680454545,0.325269601,0.168172544,0.493442145,0.638723577
Site25,Site4,119.9039242,2.378889756,0.511812995,3.908189952,3.16714312,2.289793258,0.27027027,0.567567568,0.837837838,0.638390327,0.07708294,0.715473267,0.703,0.39064143,0.05362776,0.44426919,0.572764228
Site26,Site4,102.1488804,1.785013008,0.423029108,2.616432866,1.911090003,1.787024326,0.263157895,0.526315789,0.789473684,0.60825229,0.07657445,0.68482674,0.632272727,0.372173913,0.072374582,0.444548495,0.532097561
Site27,Site4,93.32478108,2.265585222,0.391693618,2.846811961,1.992784495,2.033014583,0.111111111,0.611111111,0.722222222,0.656033162,0.027484906,0.683518068,0.634272727,0.366182014,0.079159935,0.445341949,0.556365854
Site28,Site4,151.5219576,0.413047805,0.723327549,3.719810336,3.162753856,1.958054388,0.341463415,0.414634146,0.756097561,0.616487455,0.104523879,0.721011334,0.709545455,0.285141635,0.071084981,0.356226617,0.456308943
Site29,Site4,159.9313615,0.221094683,0.443919434,3.547278574,2.897504189,2.046376006,0.391304348,0.260869565,0.652173913,0.629754629,0.040043784,0.669798413,0.617909091,0.328157208,0.101552838,0.429710045,0.519601626
Site30,Site4,185.4588295,0.984332995,0.757274329,3.576788435,2.539250688,2.519051697,0.285714286,0.380952381,0.666666667,0.653839106,0.044713212,0.698552318,0.644636364,0.382375479,0.023754789,0.406130268,0.492829268
Site31,Site4,203.8983842,1.766135487,0.785998528,3.447584732,2.609689215,2.252856561,0.216216216,0.567567568,0.783783784,0.655029094,0.053107971,0.708137065,0.682545455,0.4,0.021146497,0.421146497,0.549308943
Site32,Site4,244.5048167,2.237004857,0.587540428,4.441903734,3.084291427,3.196506714,0.235294118,0.705882353,0.941176471,0.702151755,0.07606644,0.778218196,0.788090909,0.367414796,0.110556941,0.477971737,0.67704878
Site33,Site4,266.7756256,1.713762746,0.913951776,2.886614279,1.796461473,2.259484049,0.210526316,0.526315789,0.736842105,0.639632747,0.090474369,0.730107116,0.717818182,0.402119433,0.147930689,0.550050122,0.650227642
Site34,Site4,364.2776501,2.147974264,1.086296969,4.288820071,3.443337545,2.556834791,0.181818182,0.757575758,0.939393939,0.554723363,0.377385842,0.932109205,0.952636364,0.380621793,0.209779656,0.590401449,0.786073171
Site35,Site4,462.4929058,2.49696136,0.762496911,4.84966726,3.653519558,3.189211089,0.181818182,0.757575758,0.939393939,0.600226757,0.292743764,0.892970522,0.920272727,0.345878409,0.221392656,0.567271065,0.768707317
Site36,Site4,490.1728737,2.662486368,0.592763009,4.397660982,2.859424038,3.341125003,0.125,0.8125,0.9375,0.530817009,0.361920688,0.892737697,0.925727273,0.262169796,0.331782688,0.593952484,0.881861789
Site37,Site4,543.0271237,2.543621129,1.660780942,3.976398752,2.660919583,2.954869541,0.333333333,0.611111111,0.944444444,0.644251405,0.165252938,0.809504343,0.823454545,0.385856808,0.176056338,0.561913146,0.720821138
Site38,Site4,560.875103,3.10088483,0.284630696,5.743464808,5.238640868,2.354576364,0.292682927,0.414634146,0.707317073,0.657383657,0.044521803,0.70190546,0.666363636,0.398764392,0.125526537,0.52429093,0.639788618
Site39,Site4,597.7803396,2.794177614,1.130688912,4.315101769,2.213023456,3.704406897,0.5,0.45,0.95,0.708317861,0.058484961,0.766802822,0.765272727,0.443863511,0.102916896,0.546780407,0.64195122
Site40,Site4,653.6526699,2.568134223,1.05757277,4.472885489,3.254414162,3.068467543,0.41025641,0.487179487,0.897435897,0.643519847,0.09057867,0.734098517,0.729,0.393663831,0.175711352,0.569375183,0.749788618
Site41,Site4,683.0988966,2.75499462,1.263864742,3.7144201,2.572356752,2.67953306,0.315789474,0.526315789,0.842105263,0.621575514,0.144204717,0.765780231,0.770454545,0.413052812,0.147273508,0.56032632,0.670520325
Site42,Site4,695.1310114,2.403927544,1.1907486,4.268931588,1.124431947,4.118182815,0.52173913,0.260869565,0.782608696,0.624877571,0.116748286,0.741625857,0.745636364,0.388913993,0.207410755,0.596324748,0.690528455
Site43,Site4,732.4747418,2.421570866,1.143745366,4.794972949,2.666577054,3.98511385,0.43902439,0.414634146,0.853658537,0.626955011,0.100791659,0.727746669,0.723454545,0.383681825,0.172101184,0.555783009,0.667373984
Site44,Site4,761.3188557,2.189629549,0.95834372,4.645231712,3.421615469,3.141771036,0.5,0.318181818,0.818181818,0.656775284,0.070710865,0.727486149,0.724090909,0.385008518,0.137989779,0.522998296,0.622284553
